theta_bin,phi_bin,theta_center_deg,phi_center_deg,solid_angle_sr,geometric_acceptance,efficiency,effective_acceptance,threshold_nph,variant
0,0,2.5,7.5,0.000996226,0.000995278,0.392593,0.000390739,1,tio2
0,1,2.5,22.5,0.000996226,0.000995278,0.392593,0.000390739,1,tio2
0,2,2.5,37.5,0.000996226,0.000995278,0.392593,0.000390739,1,tio2
0,3,2.5,52.5,0.000996226,0.000995278,0.392593,0.000390739,1,tio2
0,4,2.5,67.5,0.000996226,0.000995278,0.392593,0.000390739,1,tio2
0,5,2.5,82.5,0.000996226,0.000995278,0.392593,0.000390739,1,tio2
0,6,2.5,97.5,0.000996226,0.000995278,0.392593,0.000390739,1,tio2
0,7,2.5,112.5,0.000996226,0.000995278,0.392593,0.000390739,1,tio2
0,8,2.5,127.5,0.000996226,0.000995278,0.392593,0.000390739,1,tio2
0,9,2.5,142.5,0.000996226,0.000995278,0.392593,0.000390739,1,tio2
0,10,2.5,157.5,0.000996226,0.000995278,0.392593,0.000390739,1,tio2
0,11,2.5,172.5,0.000996226,0.000995278,0.392593,0.000390739,1,tio2
0,12,2.5,187.5,0.000996226,0.000995278,0.392593,0.000390739,1,tio2
0,13,2.5,202.5,0.000996226,0.000995278,0.392593,0.000390739,1,tio2
0,14,2.5,217.5,0.000996226,0.000995278,0.392593,0.000390739,1,tio2
0,15,2.5,232.5,0.000996226,0.000995278,0.392593,0.000390739,1,tio2
0,16,2.5,247.5,0.000996226,0.000995278,0.392593,0.000390739,1,tio2
0,17,2.5,262.5,0.000996226,0.000995278,0.392593,0.000390739,1,tio2
0,18,2.5,277.5,0.000996226,0.000995278,0.392593,0.000390739,1,tio2
0,19,2.5,292.5,0.000996226,0.000995278,0.392593,0.000390739,1,tio2
0,20,2.5,307.5,0.000996226,0.000995278,0.392593,0.000390739,1,tio2
0,21,2.5,322.5,0.000996226,0.000995278,0.392593,0.000390739,1,tio2
0,22,2.5,337.5,0.000996226,0.000995278,0.392593,0.000390739,1,tio2
0,23,2.5,352.5,0.000996226,0.000995278,0.392593,0.000390739,1,tio2
1,0,7.5,7.5,0.0029811,0.00295559,0.392593,0.00116034,1,tio2
1,1,7.5,22.5,0.0029811,0.00295559,0.392593,0.00116034,1,tio2
1,2,7.5,37.5,0.0029811,0.00295559,0.392593,0.00116034,1,tio2
1,3,7.5,52.5,0.0029811,0.00295559,0.392593,0.00116034,1,tio2
1,4,7.5,67.5,0.0029811,0.00295559,0.392593,0.00116034,1,tio2
1,5,7.5,82.5,0.0029811,0.00295559,0.392593,0.00116034,1,tio2
1,6,7.5,97.5,0.0029811,0.00295559,0.392593,0.00116034,1,tio2
1,7,7.5,112.5,0.0029811,0.00295559,0.392593,0.00116034,1,tio2
1,8,7.5,127.5,0.0029811,0.00295559,0.392593,0.00116034,1,tio2
1,9,7.5,142.5,0.0029811,0.00295559,0.392593,0.00116034,1,tio2
1,10,7.5,157.5,0.0029811,0.00295559,0.392593,0.00116034,1,tio2
1,11,7.5,172.5,0.0029811,0.00295559,0.392593,0.00116034,1,tio2
1,12,7.5,187.5,0.0029811,0.00295559,0.392593,0.00116034,1,tio2
1,13,7.5,202.5,0.0029811,0.00295559,0.392593,0.00116034,1,tio2
1,14,7.5,217.5,0.0029811,0.00295559,0.392593,0.00116034,1,tio2
1,15,7.5,232.5,0.0029811,0.00295559,0.392593,0.00116034,1,tio2
1,16,7.5,247.5,0.0029811,0.00295559,0.392593,0.00116034,1,tio2
