variant,variant_label,flux_model,area_mm2,theta_max_deg,threshold_nph,geometric_ideal_rate_arb,efficiency,effective_rate_arb,mean_nph_total
tio2,Hod2019/TiO2,cos2,1089,60,1,0.00199571,0.392593,0.000783499,4.84198
vikuiti,Hod2018/Vikuiti,cos2,1089,60,1,0.00199571,0.785185,0.001567,50.8099
