variant,file,tree,entries,mean_total_nph_per_event,std_total_nph_per_event,median_total_nph_per_event,fraction_events_total_nph_gt_0,mean_active_mppc_channels_per_event,ratio_mean_nph_vikuiti_over_tio2,mean_nph_00,mean_nph_01,mean_nph_02,mean_nph_03,mean_nph_04,mean_nph_05,mean_nph_06,mean_nph_07,mean_nph_08,mean_nph_09,mean_nph_10,mean_nph_11,mean_nph_12,mean_nph_13,mean_nph_14,mean_nph_15,mean_nph_16,mean_nph_17,mean_nph_18,mean_nph_19,mean_nph_20,mean_nph_21,mean_nph_22,mean_nph_23,mean_nph_24,mean_nph_25,mean_nph_26,mean_nph_27,mean_nph_28,mean_nph_29,mean_nph_30,mean_nph_31
TiO2,diagnostics/optical_variant_comparison/outputs/variant_tio2_quick.root,hodo,100,2.56,1.99158,2,0.9,1.35,12.8203,0,0,0,0,0,0,0,0,0,0,0,1.11,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,1.39,0,0,0,0
Vikuiti,diagnostics/optical_variant_comparison/outputs/variant_vikuiti_quick.root,hodo,100,32.82,12.2257,30,1,2.04,12.8203,0,0,0.17,0,0,0,0,0,0,0,0,15.68,0,0,0,0,0,0,0,0.03,0.22,0.13,0,0,0,0,0,16.59,0,0,0,0
