pixel_x,pixel_y,x_center_mm,y_center_mm,n_events,n_detected,efficiency,mean_nph_total
7,11,7,11,20,20,1,64
8,11,8,11,20,20,1,66.8
9,11,9,11,20,20,1,65.9
10,11,10,11,20,19,0.95,68.45
11,11,11,11,20,20,1,76.1
12,11,12,11,20,20,1,72.2
13,11,13,11,20,20,1,89.1
14,11,14,11,20,20,1,58.95
15,11,15,11,20,20,1,97.85
16,11,16,11,20,20,1,104.9
-16,12,-16,12,20,0,0,3.25
-15,12,-15,12,20,20,1,8.8
-14,12,-14,12,20,20,1,8.6
-13,12,-13,12,20,20,1,51.65
-12,12,-12,12,20,20,1,43.9
-11,12,-11,12,20,20,1,43.45
-10,12,-10,12,20,19,0.95,11.65
-9,12,-9,12,20,20,1,43.9
-8,12,-8,12,20,20,1,41.1
-7,12,-7,12,20,20,1,42.65
-6,12,-6,12,20,20,1,11.65
-5,12,-5,12,20,20,1,57
-4,12,-4,12,20,20,1,47.2
-3,12,-3,12,20,20,1,51.15
-2,12,-2,12,20,20,1,19
-1,12,-1,12,20,20,1,54.5
0,12,0,12,20,20,1,55.9
1,12,1,12,20,20,1,53.75
2,12,2,12,20,20,1,24.35
3,12,3,12,20,20,1,61.85
4,12,4,12,20,20,1,48.15
5,12,5,12,20,20,1,62.95
6,12,6,12,20,19,0.95,24.45
7,12,7,12,20,20,1,67.4
8,12,8,12,20,20,1,62
9,12,9,12,20,20,1,72.85
10,12,10,12,20,20,1,41.55
11,12,11,12,20,20,1,75.9
12,12,12,12,20,20,1,72
13,12,13,12,20,20,1,87.05
14,12,14,12,20,20,1,44.15
15,12,15,12,20,20,1,94.15
16,12,16,12,20,20,1,85.4
-16,13,-16,13,20,0,0,53.2
-15,13,-15,13,20,19,0.95,55.8
-14,13,-14,13,20,19,0.95,54
-13,13,-13,13,20,20,1,91.85
-12,13,-12,13,20,20,1,79.25
-11,13,-11,13,20,20,1,83.45
-10,13,-10,13,20,20,1,40.85
-9,13,-9,13,20,20,1,84.95
-8,13,-8,13,20,20,1,70.95
-7,13,-7,13,20,20,1,73.9
-6,13,-6,13,20,19,0.95,38.5
-5,13,-5,13,20,20,1,84.45
-4,13,-4,13,20,20,1,64.75
-3,13,-3,13,20,20,1,78.7
-2,13,-2,13,20,20,1,31.05
-1,13,-1,13,20,20,1,71.4
0,13,0,13,20,20,1,65.25
1,13,1,13,20,20,1,88.1
2,13,2,13,20,20,1,29.7
3,13,3,13,20,20,1,80.55
4,13,4,13,20,20,1,74.05
5,13,5,13,20,20,1,70.55
6,13,6,13,20,20,1,32.35
7,13,7,13,20,20,1,83.7
8,13,8,13,20,20,1,76.8
9,13,9,13,20,20,1,76.35
10,13,10,13,20,20,1,40.05
11,13,11,13,20,20,1,109.35
12,13,12,13,20,20,1,85.15
13,13,13,13,20,20,1,105.5
14,13,14,13,20,20,1,63.05
15,13,15,13,20,20,1,106.3
16,13,16,13,20,20,1,103.45
-16,14,-16,14,20,0,0,49.9
-15,14,-15,14,20,19,0.95,51.85
-14,14,-14,14,20,20,1,52.4
-13,14,-13,14,20,20,1,95.8
-12,14,-12,14,20,20,1,96.4
-11,14,-11,14,20,20,1,94.25
-10,14,-10,14,20,20,1,39.35
-9,14,-9,14,20,20,1,84.85
-8,14,-8,14,20,20,1,68.95
-7,14,-7,14,20,20,1,82.45
-6,14,-6,14,20,19,0.95,34.1
-5,14,-5,14,20,20,1,73.15
-4,14,-4,14,20,20,1,65.4
-3,14,-3,14,20,20,1,61.65
-2,14,-2,14,20,20,1,22.35
-1,14,-1,14,20,20,1,63.25
0,14,0,14,20,20,1,63.25
1,14,1,14,20,20,1,67.75
2,14,2,14,20,20,1,15.9
3,14,3,14,20,20,1,61.9
4,14,4,14,20,20,1,56.05
5,14,5,14,20,20,1,59.25
6,14,6,14,20,19,0.95,14.7
7,14,7,14,20,20,1,64.2
8,14,8,14,20,20,1,60.1
9,14,9,14,20,20,1,54.65
10,14,10,14,20,20,1,13.8
11,14,11,14,20,18,0.9,60.45
12,14,12,14,20,20,1,47.45
13,14,13,14,20,19,0.95,54.9
14,14,14,14,20,20,1,8.9
15,14,15,14,20,18,0.9,55.85
16,14,16,14,20,20,1,53.05
-16,15,-16,15,20,0,0,64.4
-15,15,-15,15,20,20,1,60.3
-14,15,-14,15,20,20,1,67.2
-13,15,-13,15,20,20,1,110.65
-12,15,-12,15,20,20,1,104.75
-11,15,-11,15,20,20,1,94.85
-10,15,-10,15,20,20,1,38.2
-9,15,-9,15,20,20,1,93.25
-8,15,-8,15,20,20,1,81.4
-7,15,-7,15,20,20,1,94.1
-6,15,-6,15,20,19,0.95,32.8
-5,15,-5,15,20,20,1,95.5
-4,15,-4,15,20,20,1,83.05
-3,15,-3,15,20,20,1,83.4
-2,15,-2,15,20,19,0.95,39.45
-1,15,-1,15,20,20,1,85.25
0,15,0,15,20,20,1,78.1
1,15,1,15,20,20,1,79.95
2,15,2,15,20,20,1,29.3
3,15,3,15,20,20,1,80.1
4,15,4,15,20,20,1,71.8
5,15,5,15,20,20,1,93.45
6,15,6,15,20,20,1,37.25
7,15,7,15,20,20,1,96.25
8,15,8,15,20,20,1,78.35
9,15,9,15,20,20,1,96.45
10,15,10,15,20,18,0.9,38.9
11,15,11,15,20,20,1,100.95
12,15,12,15,20,20,1,102.1
13,15,13,15,20,20,1,97.1
14,15,14,15,20,20,1,60.4
15,15,15,15,20,20,1,124
16,15,16,15,20,20,1,112.15
-16,16,-16,16,20,0,0,3.35
-15,16,-15,16,20,20,1,8.9
-14,16,-14,16,20,20,1,7.7
-13,16,-13,16,20,20,1,77.65
-12,16,-12,16,20,20,1,66.55
-11,16,-11,16,20,20,1,63.6
-10,16,-10,16,20,18,0.9,8.6
-9,16,-9,16,20,20,1,73.75
-8,16,-8,16,20,20,1,61.6
-7,16,-7,16,20,20,1,68.5
-6,16,-6,16,20,18,0.9,10.05
-5,16,-5,16,20,20,1,67.8
-4,16,-4,16,20,20,1,66.6
-3,16,-3,16,20,20,1,77.15
-2,16,-2,16,20,20,1,21.15
-1,16,-1,16,20,20,1,71.4
0,16,0,16,20,20,1,74.95
1,16,1,16,20,20,1,77.25
2,16,2,16,20,19,0.95,15.75
3,16,3,16,20,20,1,82
4,16,4,16,20,20,1,84.7
5,16,5,16,20,20,1,82
6,16,6,16,20,17,0.85,30.75
7,16,7,16,20,20,1,86.55
8,16,8,16,20,20,1,77.3
9,16,9,16,20,20,1,91.9
10,16,10,16,20,17,0.85,80.6
11,16,11,16,20,20,1,94.4
12,16,12,16,20,20,1,89.4
13,16,13,16,20,20,1,108.6
14,16,14,16,20,19,0.95,47.75
15,16,15,16,20,20,1,105.55
16,16,16,16,20,20,1,130.9
